inf,"inf ( [YIELD] , [COMP] , [ARG1] , [ARG2] , [ENTITY] , None , None )",The number of [ENTITY] that [YIELD] has more than [COMP] is the same as the difference between the number of [ENTITY] that [ARG1] has compared to [ARG2].
inf,"inf ( [YIELD] , [COMP] , [ARG1] , [ARG2] , [ENTITY] , [ATTRIBUTE] , None )",The number of [ATTRIBUTE] [ENTITY] that [YIELD] has more than [COMP] is the same as the difference between the number of [ATTRIBUTE] [ENTITY] that [ARG1] has compared to [ARG2].
inf,"inf ( [YIELD] , [COMP] , [ARG1] , [ARG2] , [ENTITY] , None , [UNIT] )",The amount of [ENTITY] in [UNIT]s that [YIELD] has more than [COMP] is the same as the difference between the amount of [ENTITY] in [UNIT]s that [ARG1] has compared to [ARG2].
container,"container ( [LABEL] , [NUM] , [ENTITY] , None , None )",[LABEL] has [NUM] [ENTITY].
container,"container ( [LABEL] , [NUM] , [ENTITY] , [ATTRIBUTE] , None )",[LABEL] has [NUM] [ATTRIBUTE] [ENTITY].
container,"container ( [LABEL] , [NUM] , [ENTITY] , None , [UNIT] )",[LABEL] has [NUM] [UNIT]s of [ENTITY].
transfer,"transfer ( None , [S_LABEL] , [NUM] , [ENTITY] , None , None )",[S_LABEL] sold [NUM] [ENTITY].
transfer,"transfer ( None , [S_LABEL] , [NUM] , [ENTITY] , None , None )",[S_LABEL] lost [NUM] of [ENTITY].
transfer,"transfer ( None , [S_LABEL] , [NUM] , [ENTITY] , None , [UNIT] )",[S_LABEL] lost [NUM] [UNIT]s of [ENTITY].
transfer,"transfer ( None , [S_LABEL] , [NUM] , [ENTITY] , [ATTRIBUTE] , None )",[S_LABEL] lost [NUM] [ATTRIBUTE] [ENTITY].
transfer,"transfer ( [R_LABEL] , None , [NUM] , [ENTITY] , None , None )",[R_LABEL] bought [NUM] [ENTITY].
transfer,"transfer ( [R_LABEL] , None , [NUM] , [ENTITY] , None , None )",[R_LABEL] bought [NUM] more [ENTITY].
transfer,"transfer ( [R_LABEL] , None , [NUM] , [ENTITY] , None , [UNIT] )",[R_LABEL] bought [NUM] [UNIT]s more [ENTITY].
transfer,"transfer ( [R_LABEL] , None , [NUM] , [ENTITY] , [ATTRIBUTE] , None )",[R_LABEL] bought [NUM] [ATTRIBUTE] [ENTITY].
transfer,"transfer ( [R_LABEL] , [S_LABEL] , [NUM] , [ENTITY] , None , None )",Then [R_LABEL] got [NUM] more [ENTITY] from [S_LABEL].
transfer,"transfer ( [R_LABEL] , [S_LABEL] , [NUM] , [ENTITY] , None , None )",[S_LABEL] gave [NUM] [ENTITY] to [R_LABEL].
transfer,"transfer ( [R_LABEL] , [S_LABEL] , [NUM] , [ENTITY] , None , None )",[S_LABEL] gave [R_LABEL] [NUM] [ENTITY].
transfer,"transfer ( [R_LABEL] , [S_LABEL] , [NUM] , [ENTITY] , None , [UNIT] )",[S_LABEL] gave [R_LABEL] [NUM] [UNIT]s of [ENTITY].
transfer,"transfer ( [R_LABEL] , [S_LABEL] , [NUM] , [ENTITY] , [ATTRIBUTE] , None )",[S_LABEL] gave [R_LABEL] [NUM] [ATTRIBUTE] [ENTITY].
add,"add ( [R_LABEL] , [A_LABEL] , [NUM] , [R_ENTITY] , None , None , [A_ENTITY] , None , None )",[R_LABEL] has [NUM] more [R_ENTITY] than [A_LABEL].
add,"add ( [R_LABEL] , [A_LABEL] , [NUM] , [R_ENTITY] , None , None , [A_ENTITY] , None , None )",[A_LABEL] has [NUM] fewer [R_ENTITY] than [R_LABEL].
add,"add ( [R_LABEL] , [A_LABEL] , [NUM] , [R_ENTITY] , None , [R_UNIT] , [A_ENTITY] , None , None )",[R_LABEL] has [NUM] [R_UNIT]s more [R_ENTITY] than [A_LABEL].
add,"add ( [R_LABEL] , [A_LABEL] , [NUM] , [R_ENTITY] , None , [R_UNIT] , [A_ENTITY] , None , None )",[A_LABEL] has [NUM] [R_UNIT]s less [A_ENTITY] than [R_LABEL].
add,"add ( [R_LABEL] , [A_LABEL] , [NUM] , [R_ENTITY] , [R_ATTRIBUTE] , None , [A_ENTITY] , None , None )",[R_LABEL] has [NUM] more [R_ATTRIBUTE] [R_ENTITY] than [A_LABEL].
add,"add ( [R_LABEL] , [A_LABEL] , [NUM] , [R_ENTITY] , [R_ATTRIBUTE] , None , [A_ENTITY] , None , None )",[A_LABEL] has [NUM] fewer [R_ATTRIBUTE] [R_ENTITY] than [R_LABEL].
add,"add ( [R_LABEL] , [A_LABEL] , [NUM] , [R_ENTITY] , [R_ATTRIBUTE] , None , [A_ENTITY] , [A_ATTRIBUTE] , None )",[R_LABEL] has [NUM] more [R_ATTRIBUTE] [R_ENTITY] than [A_LABEL].
add,"add ( [R_LABEL] , [A_LABEL] , [NUM] , [R_ENTITY] , [R_ATTRIBUTE] , None , [A_ENTITY] , [A_ATTRIBUTE] , None )",[A_LABEL] has [NUM] fewer [A_ATTRIBUTE] [A_ENTITY] than [R_LABEL].
add,"add ( [R_LABEL] , [A_LABEL] , [NUM] , [R_ENTITY] , None , [R_UNIT] , [A_ENTITY] , None , [A_UNIT] )",[R_LABEL] has [NUM] [R_UNIT]s of [R_ENTITY] more than [A_LABEL].
add,"add ( [R_LABEL] , [A_LABEL] , [NUM] , [R_ENTITY] , None , [R_UNIT] , [A_ENTITY] , None , [A_UNIT] )",[A_LABEL] has [NUM] [A_UNIT]s of [A_ENTITY] less than [R_LABEL].
times,"times ( [R_LABEL] , [A_LABEL] , [NUM] , [R_ENTITY] , None , None , [A_ENTITY] , None , None )",[R_LABEL] has [NUM] times as many [R_ENTITY] as [A_LABEL].
times,"times ( [R_LABEL] , [A_LABEL] , [NUM] , [R_ENTITY] , None , [R_UNIT] , [A_ENTITY] , None , [A_UNIT] )",[R_LABEL] has [NUM] times as much [R_ENTITY] in [R_UNIT]s as [A_LABEL] does.
times,"times ( [R_LABEL] , [A_LABEL] , [NUM] , [R_ENTITY] , [R_ATTRIBUTE] , None , [A_ENTITY] , [A_ATTRIBUTE] , None )", [R_LABEL] has [NUM] times the amount of [R_ATTRIBUTE] [R_ENTITY] compared to the amount [A_LABEL] has.
rate,"rate ( [LABEL] , [NUM] , [S_ENTITY] , None , None , [T_ENTITY] , None , None )",Each of [LABEL]'s [T_ENTITY] has [NUM] [S_ENTITY].
rate,"rate ( [LABEL] , [NUM] , [S_ENTITY] , None , None , [T_ENTITY] , None , None )",Every [T_ENTITY] that [LABEL] has contains [NUM] [S_ENTITY].
rate,"rate ( [LABEL] , [NUM] , [S_ENTITY] , None , None , [T_ENTITY] , None , None )",Each of [LABEL]'s [T_ENTITY] holds [NUM] [S_ENTITY].
rate,"rate ( [LABEL] , [NUM] , [S_ENTITY] , None , None , [T_ENTITY] , None , None )",There are [NUM] [S_ENTITY] in every [LABEL]'s [T_ENTITY].
rate,"rate ( [LABEL] , [NUM] , [S_ENTITY] , None , [S_UNIT] , [T_ENTITY] , None , [T_UNIT] )",[LABEL] possesses [NUM] [S_UNIT]s of [S_ENTITY] per [T_UNIT] of [T_ENTITY].
rate,"rate ( [LABEL] , [NUM] , [S_ENTITY] , None , [S_UNIT] , [T_ENTITY] , None , None )",[LABEL] possesses [NUM] [S_UNIT]s of [S_ENTITY] per [T_ENTITY].
